delivery_date,time_code,opening_price_jpy_kwh,highest_price_jpy_kwh,lowest_price_jpy_kwh,last_price_jpy_kwh,average_price_jpy_kwh,total_volume_kwh,number_of_contracts,source
2026-04-01,1,20.1,22.61,8.52,9.48,16.72,301050,140,JEPX public intraday CSV
2026-04-01,2,18.94,22.57,7.63,19.44,16.85,320350,150,JEPX public intraday CSV
2026-04-01,3,16.5,18.6,8.78,14.83,15.2,569300,186,JEPX public intraday CSV
2026-04-01,4,16.5,19.45,8.28,15.55,15.51,846250,237,JEPX public intraday CSV
2026-04-01,5,16.5,20.07,8.53,16.17,15.71,766250,227,JEPX public intraday CSV
2026-04-01,6,16.5,21.93,8.53,15.93,16.0,752250,247,JEPX public intraday CSV
2026-04-01,7,19.3,24.0,7.0,7.0,15.6,620250,231,JEPX public intraday CSV
2026-04-01,8,19.6,23.78,6.86,16.02,16.55,705950,255,JEPX public intraday CSV
2026-04-01,9,19.71,23.71,10.0,16.92,16.77,624300,266,JEPX public intraday CSV
2026-04-01,10,19.8,23.91,10.0,16.97,17.02,626000,278,JEPX public intraday CSV
2026-04-01,11,20.53,21.53,9.5,17.09,16.61,619900,261,JEPX public intraday CSV
2026-04-01,12,20.7,21.8,7.0,12.21,15.62,577300,247,JEPX public intraday CSV
2026-04-01,13,21.04,21.04,6.86,18.49,16.04,600950,276,JEPX public intraday CSV
2026-04-01,14,20.72,21.01,9.5,16.08,16.67,556800,300,JEPX public intraday CSV
2026-04-01,15,20.0,20.0,9.5,18.88,16.21,747400,326,JEPX public intraday CSV
2026-04-01,16,19.6,20.58,7.49,19.71,15.85,687550,324,JEPX public intraday CSV
2026-04-01,17,16.0,25.13,9.02,24.9,17.75,836550,339,JEPX public intraday CSV
2026-04-01,18,11.91,32.4,9.01,23.48,19.54,923600,304,JEPX public intraday CSV
2026-04-01,19,22.76,23.06,7.64,7.79,15.15,1456800,452,JEPX public intraday CSV
2026-04-01,20,9.9,23.39,9.0,9.11,16.44,1249100,444,JEPX public intraday CSV
2026-04-01,21,7.91,25.01,7.49,10.9,18.13,1186150,421,JEPX public intraday CSV
2026-04-01,22,7.91,25.01,6.0,11.34,18.64,1108050,435,JEPX public intraday CSV
2026-04-01,23,7.91,31.22,6.0,13.5,20.32,1194350,464,JEPX public intraday CSV
2026-04-01,24,7.73,35.4,5.8,24.91,21.12,1099700,425,JEPX public intraday CSV
2026-04-01,25,7.91,30.0,6.0,11.99,19.26,999300,433,JEPX public intraday CSV
2026-04-01,26,30.22,31.22,6.78,8.77,19.71,1010850,438,JEPX public intraday CSV
2026-04-01,27,40.0,44.7,6.7,11.76,29.46,1187800,446,JEPX public intraday CSV
2026-04-01,28,39.7,45.4,7.0,16.3,30.97,1267900,479,JEPX public intraday CSV
2026-04-01,29,39.7,43.51,10.0,14.63,30.73,1236100,466,JEPX public intraday CSV
2026-04-01,30,39.7,42.62,7.55,11.0,31.31,1178050,458,JEPX public intraday CSV
2026-04-01,31,39.7,42.89,6.73,15.41,28.81,1111450,454,JEPX public intraday CSV
2026-04-01,32,32.0,32.0,6.76,15.01,22.8,1004950,463,JEPX public intraday CSV
2026-04-01,33,32.58,32.58,7.51,15.0,22.67,782500,408,JEPX public intraday CSV
2026-04-01,34,35.83,35.83,6.78,35.83,25.19,772950,416,JEPX public intraday CSV
2026-04-01,35,32.0,32.11,6.76,26.5,24.42,635250,414,JEPX public intraday CSV
2026-04-01,36,39.7,43.44,6.0,14.55,29.34,892150,458,JEPX public intraday CSV
2026-04-01,37,38.0,39.6,5.85,21.5,28.86,835500,408,JEPX public intraday CSV
2026-04-01,38,38.0,38.54,5.83,27.95,30.14,847600,398,JEPX public intraday CSV
2026-04-01,39,31.7,31.9,10.05,31.9,26.62,673450,390,JEPX public intraday CSV
2026-04-01,40,31.03,31.03,7.58,25.07,25.15,616400,393,JEPX public intraday CSV
2026-04-01,41,23.61,24.01,7.64,18.28,21.72,591700,424,JEPX public intraday CSV
2026-04-01,42,23.8,24.38,7.64,24.32,21.71,567600,393,JEPX public intraday CSV
2026-04-01,43,23.5,23.55,7.62,20.3,18.92,1014100,506,JEPX public intraday CSV
2026-04-01,44,22.1,22.28,7.91,22.18,19.0,871350,413,JEPX public intraday CSV
2026-04-01,45,21.4,21.5,6.0,18.49,18.44,769800,431,JEPX public intraday CSV
2026-04-01,46,21.2,21.37,7.6,16.22,16.91,801150,397,JEPX public intraday CSV
2026-04-01,47,21.1,21.4,10.53,17.25,17.85,744150,415,JEPX public intraday CSV
2026-04-01,48,20.85,20.95,8.8,16.51,17.05,678900,382,JEPX public intraday CSV
2026-04-02,1,21.47,22.07,0.01,11.29,15.22,410850,156,JEPX public intraday CSV
2026-04-02,2,19.92,24.12,8.29,9.36,17.2,345500,141,JEPX public intraday CSV
2026-04-02,3,19.67,39.08,8.89,19.78,21.9,269400,128,JEPX public intraday CSV
2026-04-02,4,19.56,39.89,9.01,18.99,19.02,358350,147,JEPX public intraday CSV
2026-04-02,5,18.33,39.9,0.11,16.94,17.29,434250,152,JEPX public intraday CSV
2026-04-02,6,19.53,40.17,10.4,18.14,17.96,433100,157,JEPX public intraday CSV
2026-04-02,7,19.71,40.25,10.3,19.82,20.51,359200,144,JEPX public intraday CSV
2026-04-02,8,19.61,41.87,10.3,18.3,21.02,367000,148,JEPX public intraday CSV
2026-04-02,9,15.37,40.73,7.95,16.17,22.91,227950,125,JEPX public intraday CSV
2026-04-02,10,20.25,39.04,7.82,17.89,20.98,289900,154,JEPX public intraday CSV
2026-04-02,11,21.99,38.85,7.83,16.25,22.32,253500,136,JEPX public intraday CSV
2026-04-02,12,21.98,40.28,7.8,22.69,23.54,255400,126,JEPX public intraday CSV
2026-04-02,13,22.87,26.08,9.3,14.81,17.37,700500,223,JEPX public intraday CSV
2026-04-02,14,25.0,26.01,9.3,13.51,17.7,759500,260,JEPX public intraday CSV
2026-04-02,15,31.93,32.0,8.01,16.55,21.7,525400,238,JEPX public intraday CSV
2026-04-02,16,29.0,31.9,3.64,3.64,22.0,425250,230,JEPX public intraday CSV
